"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"980312","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF42","104","Pelham - Throgs Neck","2024","2024-01-01T00:00:00.000","12.34562544",
"980308","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF42","201","Greenpoint","2024","2024-01-01T00:00:00.000","13.99414806",
"979999","1431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF42","104","Pelham - Throgs Neck","2024","2024-01-01T00:00:00.000","14.42951043",
"979559","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","409","Kew Gardens and Woodhaven (CD9)","2024","2024-01-01T00:00:00.000","5.834643642",
"979567","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","503","Tottenville and Great Kills (CD3)","2024","2024-01-01T00:00:00.000","5.569132986",
"980314","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF42","102","Northeast Bronx","2024","2024-01-01T00:00:00.000","12.49745222",
"979182","1425","Fine particles (PM 2.5)","Annual mean","mcg/m3","UHF34","401","Long Island City - Astoria","2024","2024-01-01T00:00:00.000","7.31018066",
"979555","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","405","Ridgewood and Maspeth (CD5)","2024","2024-01-01T00:00:00.000","6.376737292",
"979995","1431","Nitrogen dioxide (NO2)","Annual mean","ppb","Borough","5","Staten Island","2024","2024-01-01T00:00:00.000","11.89687742",
"980447","1435","Ozone (O3)","Summer mean","ppb","UHF42","504","South Beach - Tottenville","2024","2024-01-01T00:00:00.000","34.19622945",
"979528","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","208","Riverdale and Fieldston (CD8)","2024","2024-01-01T00:00:00.000","6.146036273",
"979514","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","106","Stuyvesant Town and Turtle Bay (CD6)","2024","2024-01-01T00:00:00.000","7.646378834",
"980293","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF42","305","Upper East Side","2024","2024-01-01T00:00:00.000","16.71893114",
"980291","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF42","307","Gramercy Park - Murray Hill","2024","2024-01-01T00:00:00.000","20.98327",
"979529","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","209","Parkchester and Soundview (CD9)","2024","2024-01-01T00:00:00.000","6.059080866",
"980285","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF42","403","Flushing - Clearview","2024","2024-01-01T00:00:00.000","11.90548902",
"980282","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF42","406","Fresh Meadows","2024","2024-01-01T00:00:00.000","11.83321862",
"980295","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF42","303","East Harlem","2024","2024-01-01T00:00:00.000","14.21132542",
"979385","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF42","406","Fresh Meadows","2024","2024-01-01T00:00:00.000","7.059837612",
"979389","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF42","402","West Queens","2024","2024-01-01T00:00:00.000","8.38291575",
"980253","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF34","402","West Queens","2024","2024-01-01T00:00:00.000","12.9069704",
"980241","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF34","503504","Southern SI","2024","2024-01-01T00:00:00.000","8.070090682",
"979519","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","111","East Harlem (CD11)","2024","2024-01-01T00:00:00.000","6.579343901",
"980017","1431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF42","304","Upper West Side","2024","2024-01-01T00:00:00.000","18.28888539",
"979521","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","201","Mott Haven and Melrose (CD1)","2024","2024-01-01T00:00:00.000","6.617794562",
"979398","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF42","303","East Harlem","2024","2024-01-01T00:00:00.000","8.273588298",
"979482","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","UHF42","301","Washington Heights","2024","2024-01-01T00:00:00.000","6.517591005",
"980159","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","UHF42","209","Bensonhurst - Bay Ridge","2024","2024-01-01T00:00:00.000","19.77319262",
"979509","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","101","Financial District (CD1)","2024","2024-01-01T00:00:00.000","7.520667783",
"979415","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF42","104","Pelham - Throgs Neck","2024","2024-01-01T00:00:00.000","8.079537624",
"979485","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","UHF42","304","Upper West Side","2024","2024-01-01T00:00:00.000","6.750972607",
"979496","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","UHF42","405","Ridgewood - Forest Hills","2024","2024-01-01T00:00:00.000","6.065393566",
"979484","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","UHF42","303","East Harlem","2024","2024-01-01T00:00:00.000","6.564716537",
"979413","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF42","106","High Bridge - Morrisania","2024","2024-01-01T00:00:00.000","8.234812789",
"979469","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","UHF42","106","High Bridge - Morrisania","2024","2024-01-01T00:00:00.000","6.425065717",
